Elapsed Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.89050966501236,-2.5449063777923597,2.85627341270447,0,
00:00:00.004,-0.8536406755447391,2.41344213485718,-2.72011947631836,0,
00:00:00.008,-0.698510468006134,2.02519750595093,-2.2512483596801802,0,
00:00:00.012,-0.0710233673453331,0.21759088337421398,-0.24788883328437802,0,
00:00:00.016,0.362064480781555,-1.04209697246552,1.1548544168472301,0,
00:00:00.02,0.438326328992844,-1.2478324174881001,1.4084975719451898,0,
00:00:00.024,0.269504934549332,-0.75807136297226,0.871031820774078,0,
00:00:00.028,0.0311681907624006,-0.123529985547066,0.12008573859930001,0,
00:00:00.032,-0.135162636637688,0.322718858718872,-0.406202346086502,0,
00:00:00.036,-0.17489193379879,0.507484495639801,-0.567555785179138,0,
00:00:00.04,-0.12040851265192,0.45662140846252397,-0.42064848542213396,0,
00:00:00.044,-0.0364674255251884,0.159421697258949,-0.16451054811477697,0,
00:00:00.048,0.0217955075204372,-0.0934349000453949,0.0700059905648232,0,
00:00:00.052,0.028173765167593998,-0.202862352132797,0.158784568309784,0,
00:00:00.056,0.0401785112917423,-0.162239253520966,0.16242896020412398,0,
00:00:00.06,0.0335851386189461,-0.0611041747033596,0.0814216136932373,0,
00:00:00.064,0.0035907586570829205,0.0168414935469627,0.00132728135213256,0,
00:00:00.068,-0.00601620366796851,0.0800218805670738,-0.0493634343147278,0,
00:00:00.072,-0.0104040261358023,0.0815420746803284,-0.0467111505568028,0,
00:00:00.076,-0.0159955210983753,0.0304920170456171,-0.0310554001480341,0,
00:00:00.08,-0.00632862979546189,-0.0356318280100822,-0.00807738117873669,0,
00:00:00.084,0.0029211388900876,-0.0364435538649559,-0.003927198238670829,0,
00:00:00.088,0.00856988038867712,-0.0332679897546768,0.0156694613397121,0,
00:00:00.092,-0.00727732386440039,-0.0163135044276714,0.0225691758096218,0,
00:00:00.096,-0.00266238325275481,0.0144120343029499,0.00913429539650679,0,
00:00:00.1,0.0101188588887453,0.0507909059524536,-0.00177626975346357,0,
00:00:00.104,0.00635372335091233,0.0296725574880838,-0.00901781674474478,0,
00:00:00.108,-0.004670927766710521,-0.0193401221185923,-0.00687386933714151,0,
00:00:00.112,-0.000547437113709748,-0.0481205359101295,0.0103147523477674,0,
00:00:00.116,-0.00756159052252769,-0.0152839878574014,-0.0062455995939672,0,
00:00:00.12,-0.00029022627859376403,0.0279013812541962,-0.0110725769773126,0,
00:00:00.124,0.0093675060197711,0.0273645911365747,-0.00012634473387152,0,
00:00:00.128,-0.00272775650955737,-0.0320938341319561,0.007662110030651091,0,
00:00:00.132,-0.0013140317751094699,-0.0009624803788028661,-0.0043681547977030295,0,
00:00:00.136,0.00139689655043185,0.0126021066680551,0.00736043602228165,0,
00:00:00.14,-0.000162044947501272,0.038311704993248,0.0187551658600569,0,
00:00:00.144,0.00680522574111819,0.0483612865209579,-0.0127776097506285,0,
00:00:00.148,-0.0156324375420809,-0.11304374784231198,-0.0107909077778459,0,
00:00:00.152,-0.0116534298285842,-0.0785068795084953,0.0026804627850651698,0,
00:00:00.156,0.0144183514639735,0.0345169901847839,0.000443099997937679,0,
00:00:00.16,0.0129606798291206,0.0748119279742241,-0.0045625283382833,0,
00:00:00.164,0.0033123583998531103,0.0431302338838577,0.0016594197368249301,0,
00:00:00.168,-0.00634553004056215,0.00451177218928933,0.0014171814545989,0,
00:00:00.172,-0.00670491065829992,-0.024507250636816,0.00244573899544775,0,
00:00:00.176,-0.00946526881307364,-0.0429178364574909,0.0022231084294617198,0,
00:00:00.18,0.00416546920314431,-0.00133342610206455,0.009242743253707891,0,
00:00:00.184,0.0111760161817074,0.0254078097641468,-0.00834403093904257,0,
00:00:00.188,0.0045463377609849,-0.0194437671452761,-0.0015609327238053099,0,
00:00:00.192,-0.0005381692899391059,0.00101506651844829,-0.0057996972464025,0,
00:00:00.196,-0.0116586126387119,-0.00225143413990736,-0.00429628323763609,0,
00:00:00.2,-0.00419844128191471,0.0123233776539564,0.0017587267793715,0,
00:00:00.204,0.0035497306380420897,-0.0149985374882817,0.00718302978202701,0,
00:00:00.208,0.00595258083194494,-0.00549650890752673,0.000573488650843501,0,
00:00:00.212,-0.0127006601542234,0.0408343076705933,0.00234164553694427,0,
00:00:00.216,-0.00043656423804350203,0.0409701615571976,0.0132806319743395,0,
00:00:00.22,0.0308393072336912,-0.0122926654294133,-0.00874267425388098,0,
00:00:00.224,-0.00486804218962789,-0.06381275504827501,-0.0177782699465752,0,
00:00:00.228,-0.0114699462428689,-0.0564843080937862,-0.0019287201575934898,0,
00:00:00.232,-0.0110994931310415,0.009647568687796591,0.00152154394891113,0,
00:00:00.236,-0.00117773620877415,0.0464221611618996,0.0146676227450371,0,
00:00:00.24,-0.0027577793225646,0.026999032124877004,0.00108953577000648,0,
